taxable_year,county,fp,population,all_returns,agi,median_income,median_rank,joint_returns,joint_returns_median_income,joint_returns_median_rank,tax_assessed,latitude,longitude,new_georeferenced_column
1997,Solano,6095,378600,142660,5813499000,31060,8,65018,54542,9,176116000,38.17681839,-122.0352986,POINT (-122.0352986 38.17681839)
1997,Sonoma,6097,432800,189101,8453419000,29164,9,79686,53531,11,324126000,38.49367199,-122.9302632,POINT (-122.9302632 38.49367199)
1997,Stanislaus,6099,425400,148643,5130270000,23573,34,70130,41048,32,159610000,37.50148783,-121.2164803,POINT (-121.2164803 37.50148783)
1997,Sutter,6101,76100,27562,905360000,22560,40,14139,37142,43,26170000,39.01131111,-121.7233341,POINT (-121.7233341 39.01131111)
1997,Tehama,6103,54700,16485,473380000,20538,52,8372,31782,54,12350000,40.25506437,-122.2937715,POINT (-122.2937715 40.25506437)
1997,Trinity,6105,13250,4336,130203000,20879,47,2298,31594,55,3601000,40.84092907,-122.972844,POINT (-122.972844 40.84092907)
1997,Tulare,6107,358300,113716,3248822000,18244,57,50618,33803,49,90108000,36.28254312,-118.2652098,POINT (-118.2652098 36.28254312)
1997,Tuolumne,6109,52200,19154,667624000,24293,31,9872,38577,38,20270000,37.96385957,-119.8920735,POINT (-119.8920735 37.96385957)
1997,Ventura,6111,727200,289578,14505374000,29140,10,131617,54742,8,545907000,34.27709072,-119.2178496,POINT (-119.2178496 34.27709072)
1997,Yolo,6113,154800,59574,2422171000,25525,27,24966,49310,16,86527000,38.68382688,-121.9127421,POINT (-121.9127421 38.68382688)
1997,Yuba,6115,61200,17332,480540000,20603,50,8677,31420,56,11335000,39.27129476,-121.3793557,POINT (-121.3793557 39.27129476)
1998,Alameda,6001,1428300,604608,31619421000,32958,7,225839,64138,5,1317304000,37.72022591,-122.1643521,POINT (-122.1643521 37.72022591)
1998,Alpine,6003,1180,277,10487000,28124,21,155,46599,25,307000,38.58842891,-119.7124417,POINT (-119.7124417 38.58842891)
1998,Amador,6005,33100,13054,492310000,28403,18,6976,44532,30,13561000,38.47216216,-120.5741948,POINT (-120.5741948 38.47216216)
1998,Butte,6007,199700,70916,2410078000,22542,44,32247,38868,44,70664000,39.59127291,-121.6728818,POINT (-121.6728818 39.59127291)
1998,Calaveras,6009,38250,15059,559548000,28127,20,8285,43017,33,15003000,38.25462698,-120.4657376,POINT (-120.4657376 38.25462698)
1998,Colusa,6011,18650,7415,224902000,19252,57,3408,31669,57,6846000,39.16798125,-122.2990667,POINT (-122.2990667 39.16798125)
1998,Contra Costa,6013,916900,395155,25169011000,37676,4,172665,70766,4,1156883000,37.98817952,-121.9371402,POINT (-121.9371402 37.98817952)
